REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Sales,Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,DECIMALS
2018-12-01,"Montréal, Quebec",2016S0503462,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859727,7.30.1.1,7569.0,0
2018-12-01,Ontario,2021A000235,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859818,10.30.1.1,8720.0,0
2018-12-01,"Toronto, Ontario",2016S0503535,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859849,11.30.1.1,8720.0,0
2018-12-01,Manitoba,2021A000246,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859910,13.30.1.1,5454.0,0
2018-12-01,Saskatchewan,2021A000247,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859971,15.30.1.1,2497.0,0
2018-12-01,Alberta,2021A000248,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860002,16.30.1.1,14225.0,0
2018-12-01,British Columbia,2021A000259,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860093,19.30.1.1,1239.0,0
2018-12-01,Yukon,2021A000260,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860155,21.30.1.1,388.0,0
2018-12-01,Northwest Territories,2021A000261,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446860186,22.30.1.1,205.0,0
2019-01-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859541,1.30.1.1,55449.0,0
2019-01-01,Canada,2021A000011124,Cannabis retailers [459993],Total retail sales,Seasonally adjusted,Dollars,81,thousands,3,v1446870213,1.30.1.2,55449.0,0
2019-01-01,Newfoundland and Labrador,2021A000210,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859572,2.30.1.1,2093.0,0
2019-01-01,Prince Edward Island,2021A000211,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859603,3.30.1.1,1226.0,0
2019-01-01,Nova Scotia,2021A000212,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859634,4.30.1.1,5408.0,0
2019-01-01,New Brunswick,2021A000213,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859665,5.30.1.1,3035.0,0
2019-01-01,Quebec,2021A000224,Cannabis retailers [459993],Total retail sales,Unadjusted,Dollars,81,thousands,3,v1446859696,6.30.1.1,11456.0,0
